Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
ACEGUA,3,0,0,0,0,0,0,0,0,0,2,2
AGUA SANTA,0,0,0,1,0,0,0,0,0,0,0,1
AGUDO,4,6,4,4,1,6,1,3,1,4,5,7
AJURICABA,3,0,4,1,1,3,2,1,4,0,2,2
ALECRIM,2,2,1,1,0,3,1,1,2,1,3,0
ALEGRETE,22,27,20,21,17,21,9,9,22,19,13,19
ALEGRIA,1,1,1,0,3,1,0,0,1,0,2,2
ALMIRANTE TAMANDARE DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
ALPESTRE,2,2,1,1,1,2,1,1,2,1,2,1
ALTO ALEGRE,1,0,0,0,0,0,0,0,0,1,0,0
ALTO FELIZ,1,0,0,0,0,0,2,0,0,1,0,0
ALVORADA,81,82,68,46,68,62,48,68,63,93,69,79
AMARAL FERRADOR,0,2,0,0,2,0,0,2,1,0,1,0
AMETISTA DO SUL,5,1,3,2,2,4,1,3,3,1,5,7
ANDRE DA ROCHA,1,0,1,1,0,0,1,0,0,0,1,0
ANTA GORDA,2,1,2,0,2,1,0,1,0,1,0,2
ANTONIO PRADO,2,3,1,1,1,0,3,0,2,3,3,1
ARAMBARE,4,0,1,0,1,0,0,0,0,0,0,0
ARARICA,4,0,1,8,3,1,0,2,1,1,1,0
ARATIBA,2,3,2,2,1,3,0,0,0,2,1,1
ARROIO DO MEIO,3,9,5,2,2,5,1,5,3,5,6,9
ARROIO DO PADRE,0,0,0,0,0,0,0,0,1,0,0,1
ARROIO DO SAL,7,4,5,2,1,1,1,3,1,4,1,4
ARROIO DO TIGRE,6,7,8,3,1,6,7,2,3,8,4,5
ARROIO DOS RATOS,2,2,4,0,4,1,5,3,0,3,4,3
ARROIO GRANDE,1,2,5,3,5,3,3,3,1,6,6,2
ARVOREZINHA,2,2,6,0,2,3,2,1,1,2,3,3
AUGUSTO PESTANA,1,1,2,1,1,1,1,0,1,4,3,0
AUREA,2,2,2,0,1,2,1,1,1,0,1,1
BAGE,38,46,25,22,30,24,40,26,40,20,31,28
BALNEARIO PINHAL,9,12,2,2,3,6,5,3,7,4,2,8
BARAO,1,2,0,2,0,2,0,1,1,1,0,2
BARAO DO COTEGIPE,2,2,1,3,0,5,0,3,0,2,1,0
BARAO DO TRIUNFO,0,0,0,1,1,2,1,3,0,0,0,1
BARRA DO GUARITA,0,2,0,0,0,1,0,2,2,5,0,3
BARRA DO QUARAI,5,0,0,0,0,2,1,4,2,2,2,1
BARRA DO RIBEIRO,5,2,3,1,2,3,2,2,9,1,5,1
BARRA DO RIO AZUL,0,0,0,3,0,0,0,0,0,0,0,1
BARRA FUNDA,0,0,1,0,0,0,0,0,0,0,0,0
BARRACAO,2,2,2,1,0,3,3,2,2,2,0,0
BARROS CASSAL,4,12,1,0,1,2,2,7,1,3,4,2
BENJAMIN CONSTANT DO SUL,0,0,0,0,0,0,0,1,0,0,0,0
BENTO GONCALVES,33,32,27,27,24,19,27,27,21,33,24,31
BOA VISTA DAS MISSOES,0,0,2,0,2,0,3,1,0,2,0,2
BOA VISTA DO BURICA,3,1,2,1,0,1,3,1,2,1,4,2
BOA VISTA DO CADEADO,0,0,0,2,0,0,0,0,0,2,0,0
BOA VISTA DO INCRA,0,0,0,0,0,0,0,0,0,1,0,1
BOA VISTA DO SUL,0,0,0,0,1,0,0,0,0,0,0,0
BOM JESUS,2,2,2,4,1,3,2,5,7,6,5,4
BOM PRINCIPIO,4,5,4,5,7,3,0,2,3,1,3,2
BOM PROGRESSO,0,1,0,2,0,1,1,1,0,1,0,1
BOM RETIRO DO SUL,3,6,5,1,1,8,4,2,4,2,4,3
BOQUEIRAO DO LEAO,2,0,0,3,1,1,1,0,2,1,1,1
BOSSOROCA,1,0,0,0,4,3,1,1,0,1,0,1
BOZANO,0,2,0,0,0,0,0,0,1,1,2,1
BRAGA,1,0,0,0,2,5,1,1,1,0,0,1
