Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
ACEGUA,1,0,0,0,0,0,0,0,0,0,0,0
AGUA SANTA,0,0,0,0,0,0,0,0,0,0,0,0
AGUDO,0,0,1,0,0,0,1,0,1,0,0,0
AJURICABA,0,0,0,0,0,0,0,0,0,0,0,0
ALECRIM,0,0,1,0,0,0,0,0,0,0,0,0
ALEGRETE,0,1,0,1,0,0,1,4,1,1,3,1
ALEGRIA,0,0,0,0,0,0,0,0,0,0,0,0
ALMIRANTE TAMANDARE DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
ALPESTRE,0,0,0,0,0,0,0,0,0,0,0,0
ALTO ALEGRE,0,0,0,0,0,0,0,0,0,1,0,0
ALTO FELIZ,0,0,0,0,0,0,0,0,0,0,0,0
ALVORADA,6,9,5,13,4,5,4,5,3,6,7,10
AMARAL FERRADOR,0,0,0,0,0,0,0,1,0,0,0,0
AMETISTA DO SUL,0,2,0,0,0,0,0,0,0,2,1,0
ANDRE DA ROCHA,0,0,0,0,0,0,0,0,0,0,0,0
ANTA GORDA,0,0,0,0,0,0,1,0,1,0,0,1
ANTONIO PRADO,1,0,0,0,0,0,0,0,0,0,0,0
ARAMBARE,0,0,0,0,0,0,0,0,0,1,0,0
ARARICA,0,0,0,0,1,0,0,0,0,0,0,0
ARATIBA,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO MEIO,0,0,0,0,0,0,0,0,0,0,0,1
ARROIO DO PADRE,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DO SAL,0,0,0,0,0,0,0,0,0,0,2,0
ARROIO DO TIGRE,0,0,0,0,0,0,0,0,0,0,0,0
ARROIO DOS RATOS,0,0,1,0,0,0,0,0,0,2,2,0
ARROIO GRANDE,0,0,1,0,0,1,0,1,1,0,0,1
ARVOREZINHA,0,0,1,1,1,0,0,0,0,0,1,0
AUGUSTO PESTANA,0,0,0,0,0,0,0,0,0,0,0,0
AUREA,0,1,0,0,0,0,0,0,0,0,0,0
BAGE,8,2,3,2,1,1,0,0,2,0,1,4
BALNEARIO PINHAL,0,0,0,0,0,0,0,0,1,0,1,0
BARAO,0,0,0,0,0,0,0,0,0,0,0,0
BARAO DO COTEGIPE,0,0,0,0,1,0,0,0,0,0,0,0
BARAO DO TRIUNFO,0,0,1,1,0,0,1,0,0,1,0,1
BARRA DO GUARITA,0,0,0,0,0,0,0,1,0,0,0,0
BARRA DO QUARAI,0,0,0,0,0,0,0,0,0,0,0,0
BARRA DO RIBEIRO,1,0,1,0,1,0,1,0,2,0,0,0
BARRA DO RIO AZUL,0,0,0,0,0,0,0,0,0,0,0,0
BARRA FUNDA,0,0,0,0,0,0,0,0,0,0,0,0
BARRACAO,1,0,0,0,0,0,0,0,0,0,0,0
BARROS CASSAL,0,0,0,0,0,0,0,0,0,0,0,0
BENJAMIN CONSTANT DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
BENTO GONCALVES,0,2,1,0,4,2,0,5,3,2,2,3
BOA VISTA DAS MISSOES,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO BURICA,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO CADEADO,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO INCRA,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA DO SUL,0,0,0,0,0,0,0,0,0,0,0,0
BOM JESUS,0,1,1,0,0,0,1,0,0,0,0,0
