Cidades,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SEP,OUT,NOV,DEZ
ACEGUA,0,0,0,0,0,0,0,0,0,0,1,0
AGUA SANTA,0,0,0,0,0,0,0,1,1,0,0,0
AGUDO,0,1,2,1,1,0,2,0,2,1,2,2
AJURICABA,0,1,2,0,0,0,1,1,2,0,2,2
ALECRIM,0,0,0,0,0,0,1,0,0,0,3,0
ALEGRETE,13,7,7,8,3,7,7,15,7,9,7,11
ALEGRIA,0,0,0,2,1,1,0,2,1,1,0,1
ALMIRANTE TAMANDARE DO SUL,0,0,0,2,0,0,0,0,0,0,0,0
ALPESTRE,0,0,0,0,0,0,0,2,2,0,4,0
ALTO ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0
ALTO FELIZ,0,1,0,0,0,0,0,0,0,0,0,0
ALVORADA,39,35,33,33,25,33,47,23,40,40,38,45
AMARAL FERRADOR,0,0,1,0,0,0,0,0,1,0,0,0
AMETISTA DO SUL,0,0,3,0,0,0,2,1,0,1,1,0
ANDRE DA ROCHA,0,0,0,0,0,0,0,0,0,0,0,2
ANTA GORDA,0,0,0,0,0,0,1,0,1,0,1,0
ANTONIO PRADO,0,1,0,2,1,1,3,1,2,1,0,3
ARAMBARE,0,3,1,1,0,1,1,0,1,0,0,1
ARARICA,0,4,1,1,1,0,1,1,2,0,1,0
ARATIBA,1,0,0,0,0,0,0,0,1,0,1,0
ARROIO DO MEIO,0,0,1,2,0,4,0,1,2,0,5,3
ARROIO DO PADRE,0,0,0,0,0,0,0,0,2,0,0,0
ARROIO DO SAL,3,3,0,5,1,0,1,4,2,1,2,4
ARROIO DO TIGRE,0,1,1,3,1,0,2,1,0,1,1,3
ARROIO DOS RATOS,4,1,5,1,1,0,3,2,4,2,3,5
ARROIO GRANDE,2,1,2,3,3,1,2,1,0,0,4,4
ARVOREZINHA,4,1,2,0,1,1,0,0,0,0,0,1
AUGUSTO PESTANA,2,1,0,1,1,2,0,0,1,0,4,4
AUREA,1,0,0,0,0,0,0,0,0,1,0,1
BAGE,24,22,16,18,11,7,10,16,16,22,18,31
BALNEARIO PINHAL,8,4,4,1,2,2,2,1,3,4,3,6
BARAO,1,0,0,0,0,0,1,0,0,0,0,1
BARAO DO COTEGIPE,0,2,2,0,0,0,1,0,1,3,1,0
BARAO DO TRIUNFO,0,1,2,0,1,1,1,1,0,1,0,4
BARRA DO GUARITA,0,1,0,2,0,1,2,0,2,0,0,0
BARRA DO QUARAI,3,1,0,0,0,1,0,0,0,0,0,1
BARRA DO RIBEIRO,8,1,0,1,0,1,1,0,3,2,2,1
BARRA DO RIO AZUL,0,0,0,0,0,0,0,0,0,0,0,0
BARRA FUNDA,0,0,0,0,0,0,0,0,0,0,0,0
BARRACAO,0,0,0,2,0,0,1,0,2,0,0,1
